week,CITY,precipitation_avg,precipitation_max
201202,Mendes,3.525,13.3394
201202,Mesquita,2.8426,12.0918
201202,Miguel Pereira,3.6884,13.4461
201202,Miracema,2.2557,10.2896
201202,Natividade,2.2911,10.286
201202,Nilópolis,2.8221,12.0561
201202,Niterói,2.6587,10.9274
201202,Nova Friburgo,3.2933,11.8565
201202,Nova Iguaçu,2.8695,12.1415
201202,Paracambi,2.9949,12.4527
201202,Paraíba Do Sul,3.0265,12.1559
201202,Paraty,3.4398,14.3984
201202,Paty Do Alferes,3.5962,13.2532
201202,Petrópolis,3.8025,13.3734
201202,Pinheiral,3.5131,13.6954
201202,Piraí,3.5068,13.611
201202,Porciúncula,2.3322,10.3947
201202,Porto Real,3.5639,13.7334
201202,Quatis,3.578,13.7473
201202,Queimados,2.906,12.1951
201202,Quissamã,1.9628,9.3936
201202,Resende,3.6056,13.7721
201202,Rio Bonito,2.3912,10.1956
201202,Rio Claro,3.7206,14.3102
201202,Rio Das Flores,3.5203,13.1427
201202,Rio Das Ostras,2.0006,9.4372
201202,Rio De Janeiro,2.6249,11.2093
201202,Santa Maria Madalena,3.1072,11.4481
201202,Santo Antônio De Pádua,2.2143,10.1918
201202,São Fidélis,1.9802,9.5268
201202,São Francisco De Itabapoana,1.9855,9.4045
201202,São Gonçalo,2.5498,10.7687
201202,São João Da Barra,1.9723,9.4036
201202,São João De Meriti,2.7938,11.9504
201202,São José De Ubá,2.1922,10.0616
201202,São José Do Vale Do Rio Preto,3.2201,12.0988
201202,São Pedro Da Aldeia,2.0228,9.4198
201202,São Sebastião Do Alto,2.8259,11.051
201202,Sapucaia,2.6894,11.2778
201202,Saquarema,2.2402,9.7519
201202,Seropédica,2.9533,12.2862
201202,Silva Jardim,2.211,10.0423
201202,Sumidouro,2.7521,11.1807
201202,Tanguá,2.3888,10.2102
201202,Teresópolis,3.7318,12.8997
201202,Trajano De Moraes,2.8747,11.0546
201202,Três Rios,2.9425,11.9557
201202,Valença,3.5932,13.3442
201202,Varre-Sai,3.1074,11.608
201202,Vassouras,3.4682,13.1484
201202,Volta Redonda,3.5418,13.8027
201203,Angra Dos Reis,3.2739,13.8127
201203,Aperibé,2.0896,9.933
201203,Araruama,2.1605,9.6863
