week,precipitation_max,precipitation_avg,city,state
201201,20.02750285380735,5.043047715374667,Angra Dos Reis,RJ
201202,18.673898717080384,4.327755502308335,Angra Dos Reis,RJ
201203,5.723141302765219,2.0346338815343317,Angra Dos Reis,RJ
201204,5.620599249416985,1.5991887524833441,Angra Dos Reis,RJ
201205,7.32683400156143,1.7775613330937863,Angra Dos Reis,RJ
201206,21.199178579078946,3.1229823655818185,Angra Dos Reis,RJ
201207,22.621109480018163,3.400126519213408,Angra Dos Reis,RJ
201208,6.835202546594339,0.9963899466229057,Angra Dos Reis,RJ
201209,2.466817495449743,0.5114473684077498,Angra Dos Reis,RJ
201210,4.575763723480762,0.7364733417403884,Angra Dos Reis,RJ
201211,14.091451340786824,3.6746141612447483,Angra Dos Reis,RJ
201212,13.427554358289758,3.362457955920014,Angra Dos Reis,RJ
201213,11.690896031479507,2.4044246895888817,Angra Dos Reis,RJ
201214,10.646142639545909,1.7475090458243732,Angra Dos Reis,RJ
201215,2.8601261143242134,0.5443760308118046,Angra Dos Reis,RJ
201216,12.400574924551279,2.5638734635126594,Angra Dos Reis,RJ
201217,5.2097777191973895,1.195034852517678,Angra Dos Reis,RJ
201218,7.522543098313408,2.6361530162561575,Angra Dos Reis,RJ
201219,0.9030709896354838,0.1962772873466669,Angra Dos Reis,RJ
201220,5.020606371948407,1.7107713977329988,Angra Dos Reis,RJ
201221,0.37081107016326725,0.10427412501342989,Angra Dos Reis,RJ
201222,4.111821145411178,0.7414661541363811,Angra Dos Reis,RJ
201223,3.276406701950444,0.8594316604306478,Angra Dos Reis,RJ
201224,6.858072884013807,1.1512898239538638,Angra Dos Reis,RJ
201225,11.090388555259201,2.0723565277146427,Angra Dos Reis,RJ
201226,1.9384559099746157,0.3076377015977143,Angra Dos Reis,RJ
201227,0.041736289063034504,0.028312138321506315,Angra Dos Reis,RJ
201228,8.044023497937768,1.5825091037123502,Angra Dos Reis,RJ
201229,2.2697964146020158,0.7589684750219028,Angra Dos Reis,RJ
201230,0.5403843809479603,0.0942275903660983,Angra Dos Reis,RJ
201231,0.8842549480135349,0.13244420283299513,Angra Dos Reis,RJ
201232,5.035773520505771,0.9023010940185793,Angra Dos Reis,RJ
201233,-0.10020473358283866,-0.12588195823218792,Angra Dos Reis,RJ
201234,-0.2567014252606777,-0.11814607751863132,Angra Dos Reis,RJ
201235,3.3676098955956904,0.5209912355024066,Angra Dos Reis,RJ
201236,3.45628631930414,0.5210318255636448,Angra Dos Reis,RJ
201237,2.181848622481267,0.40379550390345753,Angra Dos Reis,RJ
201238,6.190445207081781,1.1812761728397478,Angra Dos Reis,RJ
201239,8.357291534654975,1.9281048075820555,Angra Dos Reis,RJ
201240,0.037585176302765234,0.002967767596530331,Angra Dos Reis,RJ
201241,6.277033081003096,1.9141352321501013,Angra Dos Reis,RJ
201242,3.345619327219577,0.9330016943783375,Angra Dos Reis,RJ
201243,10.856206465450267,3.0625849749198024,Angra Dos Reis,RJ
201244,1.559311714073431,0.4293005943093232,Angra Dos Reis,RJ
201245,3.2891634181516163,0.9107489259298078,Angra Dos Reis,RJ
201246,8.644472068175386,2.7743003462042592,Angra Dos Reis,RJ
201247,6.470848177690296,1.1387905550595563,Angra Dos Reis,RJ
201248,13.634811008792097,2.751499488425733,Angra Dos Reis,RJ
201249,3.6174689676560763,0.5051230791712118,Angra Dos Reis,RJ
201250,15.067685179159234,4.210205552119841,Angra Dos Reis,RJ
201251,2.1288713438179867,0.6237562684667944,Angra Dos Reis,RJ
201252,1.8490912574338536,0.3061023969186994,Angra Dos Reis,RJ
201301,18.97700256434746,4.905052860902312,Angra Dos Reis,RJ
201302,10.107981526046299,3.058414850705784,Angra Dos Reis,RJ
201303,10.146544731843754,5.455572063630168,Angra Dos Reis,RJ
201304,12.020950513633931,3.7002312990257624,Angra Dos Reis,RJ
201305,-0.4283561143434247,0.4786889299681223,Angra Dos Reis,RJ
201306,14.304175737870333,4.425485624716719,Angra Dos Reis,RJ
201307,0.07828945853952834,0.030979531547638578,Angra Dos Reis,RJ
201308,0.9494778305540742,0.28181354168744904,Angra Dos Reis,RJ
201309,9.249644450195289,3.10323708704085,Angra Dos Reis,RJ
201310,17.742356528158517,3.63927423290911,Angra Dos Reis,RJ
201311,14.651578246721623,3.8209354826958304,Angra Dos Reis,RJ
201312,20.007499312041706,5.135481497052803,Angra Dos Reis,RJ
201313,13.271280622464396,2.877792355382737,Angra Dos Reis,RJ
201314,20.292091099811056,3.9268242522475685,Angra Dos Reis,RJ
201315,9.193220099461783,2.1030866961813572,Angra Dos Reis,RJ
201316,2.5772387849904064,0.3662512296592668,Angra Dos Reis,RJ
201317,1.3668472445971749,0.2840882508214333,Angra Dos Reis,RJ
201318,0.17961498883529,0.07515258655044639,Angra Dos Reis,RJ
201319,3.8539835946237204,0.7559545156553076,Angra Dos Reis,RJ
201320,7.735815144447605,1.2964530041643345,Angra Dos Reis,RJ
201321,6.950832045359264,1.4812404840363183,Angra Dos Reis,RJ
201322,5.531274150276456,1.4400042863735305,Angra Dos Reis,RJ
201323,5.262352734057405,1.3908830161710402,Angra Dos Reis,RJ
201324,3.0844205334474433,0.6262894614889025,Angra Dos Reis,RJ
201325,0.39769762944528797,0.10538119530059481,Angra Dos Reis,RJ
201326,3.023199555383984,0.5583350656370994,Angra Dos Reis,RJ
201327,10.655262460000579,1.954237550809847,Angra Dos Reis,RJ
201328,2.7442571956690998,0.6364435947479639,Angra Dos Reis,RJ
201329,10.390199698904244,2.1859950300274686,Angra Dos Reis,RJ
