date,week,start_date,end_date
2014-07-13,201429,2014-07-13,2014-07-19
2014-07-20,201430,2014-07-20,2014-07-26
2014-07-27,201431,2014-07-27,2014-08-02
2014-08-03,201432,2014-08-03,2014-08-09
2014-08-10,201433,2014-08-10,2014-08-16
2014-08-17,201434,2014-08-17,2014-08-23
2014-08-24,201435,2014-08-24,2014-08-30
2014-08-31,201436,2014-08-31,2014-09-06
2014-09-07,201437,2014-09-07,2014-09-13
2014-09-14,201438,2014-09-14,2014-09-20
2014-09-21,201439,2014-09-21,2014-09-27
2014-09-28,201440,2014-09-28,2014-10-04
2014-10-05,201441,2014-10-05,2014-10-11
2014-10-12,201442,2014-10-12,2014-10-18
2014-10-19,201443,2014-10-19,2014-10-25
2014-10-26,201444,2014-10-26,2014-11-01
2014-11-02,201445,2014-11-02,2014-11-08
2014-11-09,201446,2014-11-09,2014-11-15
2014-11-16,201447,2014-11-16,2014-11-22
2014-11-23,201448,2014-11-23,2014-11-29
2014-11-30,201449,2014-11-30,2014-12-06
2014-12-07,201450,2014-12-07,2014-12-13
2014-12-14,201451,2014-12-14,2014-12-20
2014-12-21,201452,2014-12-21,2014-12-27
2014-12-28,201453,2014-12-28,2015-01-03
2015-01-04,201501,2015-01-04,2015-01-10
2015-01-11,201502,2015-01-11,2015-01-17
2015-01-18,201503,2015-01-18,2015-01-24
2015-01-25,201504,2015-01-25,2015-01-31
2015-02-01,201505,2015-02-01,2015-02-07
2015-02-08,201506,2015-02-08,2015-02-14
2015-02-15,201507,2015-02-15,2015-02-21
2015-02-22,201508,2015-02-22,2015-02-28
2015-03-01,201509,2015-03-01,2015-03-07
2015-03-08,201510,2015-03-08,2015-03-14
2015-03-15,201511,2015-03-15,2015-03-21
2015-03-22,201512,2015-03-22,2015-03-28
2015-03-29,201513,2015-03-29,2015-04-04
2015-04-05,201514,2015-04-05,2015-04-11
2015-04-12,201515,2015-04-12,2015-04-18
2015-04-19,201516,2015-04-19,2015-04-25
2015-04-26,201517,2015-04-26,2015-05-02
2015-05-03,201518,2015-05-03,2015-05-09
2015-05-10,201519,2015-05-10,2015-05-16
2015-05-17,201520,2015-05-17,2015-05-23
2015-05-24,201521,2015-05-24,2015-05-30
2015-05-31,201522,2015-05-31,2015-06-06
2015-06-07,201523,2015-06-07,2015-06-13
2015-06-14,201524,2015-06-14,2015-06-20
2015-06-21,201525,2015-06-21,2015-06-27
2015-06-28,201526,2015-06-28,2015-07-04
2015-07-05,201527,2015-07-05,2015-07-11
2015-07-12,201528,2015-07-12,2015-07-18
2015-07-19,201529,2015-07-19,2015-07-25
