week,precipitation_avg,precipitation_max,CITY
201436,0.9686,2.9991,Angra Dos Reis
201437,0.0127,0.0459,Angra Dos Reis
201438,1.0395,5.9732,Angra Dos Reis
201439,1.272,5.6371,Angra Dos Reis
201440,2.4109,12.1713,Angra Dos Reis
201441,0.0567,0.3898,Angra Dos Reis
201442,0.0261,0.1728,Angra Dos Reis
201443,0.9756,4.4038,Angra Dos Reis
201444,2.8467,14.9866,Angra Dos Reis
201445,0.8426,4.3573,Angra Dos Reis
201446,2.7194,8.5411,Angra Dos Reis
201447,0.7412,4.2137,Angra Dos Reis
201448,2.5618,10.2475,Angra Dos Reis
201449,2.5413,13.2578,Angra Dos Reis
201450,1.2053,4.5826,Angra Dos Reis
201451,0.6389,4.2705,Angra Dos Reis
201452,1.0261,3.5328,Angra Dos Reis
201453,1.8356,9.8612,Angra Dos Reis
201501,4.1256,19.1004,Angra Dos Reis
201502,0.0,0.0026,Angra Dos Reis
201503,2.2019,6.8505,Angra Dos Reis
201504,5.2651,15.2128,Angra Dos Reis
201505,6.3544,13.7755,Angra Dos Reis
201506,1.4093,5.4399,Angra Dos Reis
201507,4.2189,18.0589,Angra Dos Reis
201508,1.5719,12.6562,Angra Dos Reis
201509,2.574,8.1734,Angra Dos Reis
201510,4.2371,23.7499,Angra Dos Reis
201511,3.5627,15.0522,Angra Dos Reis
201512,3.1459,16.0149,Angra Dos Reis
201513,3.5216,15.5997,Angra Dos Reis
201514,1.5623,6.8601,Angra Dos Reis
201515,0.0506,0.8264,Angra Dos Reis
201516,1.6713,8.2973,Angra Dos Reis
201517,1.6715,7.9888,Angra Dos Reis
201518,1.8878,8.2788,Angra Dos Reis
201519,1.292,4.9679,Angra Dos Reis
201520,0.1288,0.4405,Angra Dos Reis
201521,0.3869,2.2802,Angra Dos Reis
201522,0.4686,2.1501,Angra Dos Reis
201523,0.0992,0.3827,Angra Dos Reis
201524,1.6811,6.5034,Angra Dos Reis
201525,1.0516,4.8446,Angra Dos Reis
201526,0.2196,1.2372,Angra Dos Reis
201527,0.1495,0.9945,Angra Dos Reis
201528,0.0259,0.1184,Angra Dos Reis
201529,0.6395,2.599,Angra Dos Reis
201530,0.196,0.9825,Angra Dos Reis
201531,0.0227,0.0679,Angra Dos Reis
201532,0.0073,0.0753,Angra Dos Reis
201533,0.175,1.2459,Angra Dos Reis
201534,0.7118,3.586,Angra Dos Reis
201535,0.6951,2.8234,Angra Dos Reis
201536,2.1382,4.9405,Angra Dos Reis
201537,1.0162,5.6474,Angra Dos Reis
201538,0.3483,2.4417,Angra Dos Reis
201539,1.2461,5.5276,Angra Dos Reis
201540,0.6002,3.2747,Angra Dos Reis
201541,0.0226,0.1239,Angra Dos Reis
201542,0.7192,2.6534,Angra Dos Reis
201543,0.0,0.0,Angra Dos Reis
201544,4.1763,13.4818,Angra Dos Reis
201545,0.6496,4.1791,Angra Dos Reis
201546,3.4124,13.5109,Angra Dos Reis
201547,2.7166,11.1464,Angra Dos Reis
201548,5.1641,17.1802,Angra Dos Reis
