ESTACAO,week,precipitation_max,precipitation_avg
A601,201201,66.2,14.171428571428573
A621,201201,11.2,2.7142857142857144
A624,201201,17.2,5.771428571428571
A603,201201,19.0,9.685714285714283
A604,201201,18.4,7.514285714285714
A606,201201,5.4,2.1142857142857143
A652,201201,29.8,5.914285714285714
A607,201201,25.0,6.371428571428572
A620,201201,15.2,3.8
A608,201201,9.4,4.371428571428572
A609,201201,16.0,5.257142857142857
A619,201201,0.2,0.2
A610,201201,19.0,9.685714285714283
A611,201201,25.8,6.571428571428571
A618,201201,8.8,4.571428571428571
A602,201201,6.8,2.1714285714285717
A606,201202,35.6,5.42857142857143
A601,201202,22.8,5.057142857142857
A652,201202,2.0,0.7428571428571429
A624,201202,15.8,4.485714285714286
A619,201202,0.2,0.2
A618,201202,8.2,3.085714285714286
A609,201202,30.4,7.142857142857143
A604,201202,13.8,4.0
A607,201202,9.0,2.914285714285714
A603,201202,10.0,3.171428571428572
A621,201202,16.0,4.6571428571428575
A608,201202,17.6,3.4285714285714284
A620,201202,9.4,2.2
A611,201202,46.6,9.971428571428572
A610,201202,10.0,3.171428571428572
A602,201202,17.2,4.0
A618,201203,22.6,5.514285714285714
A610,201203,8.4,1.5142857142857142
A624,201203,6.0,1.4857142857142858
A604,201203,0.0,0.0
A606,201203,0.2,0.0571428571428571
A603,201203,8.4,1.5142857142857142
A611,201203,1.6,0.3428571428571428
A601,201203,7.0,2.4285714285714284
A621,201203,4.4,1.2857142857142858
A619,201203,0.2,0.2
A652,201203,4.4,0.8
A602,201203,4.2,1.3142857142857145
A609,201203,13.4,6.057142857142858
A620,201203,0.0,0.0
A608,201203,0.0,0.0
A607,201203,0.0,0.0
A624,201204,15.8,3.4
A604,201204,28.8,4.114285714285715
A609,201204,12.2,3.371428571428571
A603,201204,11.2,2.371428571428571
A601,201204,2.8,1.0285714285714287
A607,201204,10.4,1.4857142857142858
A606,201204,16.2,2.771428571428572
A652,201204,8.2,2.085714285714286
A618,201204,9.0,2.8000000000000003
A608,201204,10.0,2.314285714285714
A610,201204,11.2,2.371428571428571
A620,201204,1.4,0.1999999999999999
A621,201204,5.2,1.1428571428571428
A611,201204,10.0,2.1714285714285717
A619,201204,0.2,0.2
A602,201204,5.0,1.457142857142857
A619,201205,0.2,0.0285714285714285
A609,201205,12.4,3.0571428571428574
A624,201205,34.2,8.314285714285715
A607,201205,6.6,1.6285714285714286
A652,201205,12.6,2.857142857142857
A610,201205,29.2,5.714285714285714
A620,201205,24.6,3.8857142857142857
A621,201205,8.4,1.5714285714285714
A606,201205,8.4,2.837400458165158
A611,201205,18.2,5.457142857142857
A608,201205,32.2,5.714285714285714
A601,201205,13.0,2.4
A603,201205,29.2,5.714285714285714
A604,201205,41.8,8.285714285714286
A602,201205,2.6,0.4571428571428572
A618,201205,14.8,3.628571428571429
A620,201206,0.0,0.0
A607,201206,0.0,0.0
A619,201206,46.4,6.685714285714285
A609,201206,2.4,0.6571428571428571
A604,201206,0.0,0.0
A602,201206,10.2,1.457142857142857
A601,201206,17.4,2.4857142857142853
A624,201206,3.4,0.6
A618,201206,2.8,0.4857142857142857
A652,201206,0.0,0.0
A621,201206,8.6,1.2285714285714284
A608,201206,0.0,0.0
A603,201206,14.0,2.0285714285714285
A611,201206,23.6,3.628571428571429
A610,201206,14.0,2.0285714285714285
A618,201207,23.4,4.885714285714285
A610,201207,26.8,4.542857142857143
A603,201207,26.8,4.542857142857143
A652,201207,1.4,0.2857142857142857
A601,201207,5.6,0.7999999999999999
A607,201207,5.6,1.3428571428571427
A609,201207,28.4,4.257142857142857
A619,201207,45.2,7.0
A604,201207,5.4,1.7714285714285716
A602,201207,20.6,2.942857142857143
A624,201207,11.8,2.257142857142857
A621,201207,4.0,0.5714285714285714
A611,201207,15.2,2.3428571428571425
A620,201207,17.6,2.7428571428571438
A608,201207,1.0,0.2285714285714286
A619,201208,12.6,1.8
A624,201208,0.4,0.0857142857142857
A609,201208,5.0,0.7428571428571429
A608,201208,0.0,0.0
A607,201208,0.0,0.0
A621,201208,0.2,0.0571428571428571
A602,201208,0.0,0.0
A601,201208,0.0,0.0
A652,201208,0.0,0.0
A620,201208,0.0,0.0
A603,201208,0.6,0.1714285714285714
A611,201208,24.2,3.514285714285714
A604,201208,0.0,0.0
A610,201208,0.6,0.1714285714285714
A618,201208,16.6,2.4
A619,201209,6.2,1.2285714285714284
A601,201209,0.0,0.0
A603,201209,0.2,0.0285714285714285
A608,201209,0.0,0.0
A620,201209,0.0,0.0
A624,201209,0.2,0.1714285714285714
A621,201209,0.0,0.0
A604,201209,0.0,0.0
A609,201209,4.4,1.085714285714286
A607,201209,0.0,0.0
A602,201209,0.0,0.0
A610,201209,0.2,0.0285714285714285
A611,201209,0.0,0.0
A652,201209,1.2,0.1714285714285714
A618,201209,0.0,0.0
A602,201210,2.0,0.2857142857142857
A609,201210,1.2,0.1999999999999999
A618,201210,16.4,4.799999999999999
A621,201210,16.0,2.2857142857142856
A607,201210,3.6,0.5142857142857143
A620,201210,0.2,0.0285714285714285
A604,201210,0.4,0.0571428571428571
A608,201210,0.2,0.0571428571428571
A603,201210,6.8,2.514285714285714
A601,201210,9.0,1.2857142857142858
A610,201210,6.8,2.514285714285714
A652,201210,0.2,0.0285714285714285
A619,201210,0.2,0.0571428571428571
A611,201210,5.2,0.7714285714285715
A624,201210,12.6,2.4
A619,201211,16.0,3.571428571428572
A611,201211,13.4,4.971428571428571
A608,201211,6.2,1.4285714285714286
A620,201211,4.2,0.6
A618,201211,34.4,10.457142857142856
A621,201211,22.6,4.085714285714286
A603,201211,16.8,6.0
A601,201211,11.6,2.371428571428571
A602,201211,3.8,0.6571428571428571
A604,201211,12.2,1.9142857142857144
A624,201211,32.2,7.828571428571429
A652,201211,1.8,0.2857142857142857
A609,201211,23.6,7.828571428571429
A610,201211,16.8,6.0
A607,201211,12.8,2.2285714285714286
A602,201212,5.4,2.2
A603,201212,23.2,5.657142857142857
A624,201212,34.2,9.94285714285714
A619,201212,20.4,4.6
A611,201212,21.6,4.457142857142857
A610,201212,23.2,5.657142857142857
A608,201212,18.0,3.742857142857143
A652,201212,2.0,0.6
A620,201212,2.6,0.5714285714285714
A618,201212,13.0,5.257142857142857
A601,201212,6.9,2.314285714285714
A609,201212,16.4,4.2
A621,201212,9.8,2.4285714285714284
A604,201212,19.2,3.0285714285714285
A607,201212,8.0,1.3142857142857145
A601,201213,6.5,1.8714285714285717
A652,201213,5.2,1.2285714285714289
A609,201213,37.8,6.257142857142857
A611,201213,14.8,4.6571428571428575
A619,201213,3.8,0.5714285714285714
A602,201213,4.0,1.2571428571428571
A610,201213,7.0,1.8000000000000005
A607,201213,7.8,3.628571428571429
A608,201213,10.0,2.8857142857142857
A604,201213,10.6,2.257142857142857
A618,201213,9.6,2.0
A621,201213,9.0,2.4857142857142853
A603,201213,7.0,1.8000000000000005
A620,201213,7.2,1.9714285714285715
A624,201213,5.2,1.2285714285714284
A624,201214,23.8,4.828571428571428
A620,201214,0.6,0.1999999999999999
A607,201214,1.0,0.2285714285714286
A621,201214,6.0,0.8571428571428571
A652,201214,0.6,0.0857142857142857
A604,201214,0.4,0.1142857142857143
A603,201214,24.2,5.514285714285714
A608,201214,0.6,0.1999999999999999
A602,201214,0.2,0.0857142857142857
A619,201214,8.2,1.4
A610,201214,24.2,5.514285714285714
A618,201214,78.4,15.02857142857143
A609,201214,34.4,5.914285714285714
A611,201214,5.8,0.8857142857142858
A601,201214,3.1,0.4714285714285715
A604,201215,1.2,0.1999999999999999
A621,201215,3.6,0.5428571428571429
A603,201215,4.0,0.8285714285714285
A606,201215,2.0,0.5
A607,201215,5.0,0.9142857142857144
A609,201215,1.2,0.2857142857142857
A610,201215,4.0,0.8571428571428571
A619,201215,2.0,0.3714285714285714
A602,201215,1.2,0.3428571428571428
A611,201215,9.2,1.8285714285714283
A652,201215,3.8,0.6
A601,201215,2.4,0.4428571428571429
A618,201215,17.2,3.5428571428571423
A624,201215,5.4,1.2285714285714284
A620,201215,2.6,0.4857142857142857
A608,201215,0.2,0.0571428571428571
A619,201216,6.0,1.6
A610,201216,5.0,1.4285714285714286
A609,201216,20.0,4.171428571428572
A624,201216,24.4,5.542857142857143
A607,201216,0.2,0.0571428571428571
A611,201216,11.0,3.057142857142857
A620,201216,4.2,0.6
A603,201216,35.2,5.971428571428572
A608,201216,3.6,0.6
A602,201216,8.0,1.6857142857142855
A618,201216,7.4,3.1142857142857143
A601,201216,8.2,1.7142857142857142
A652,201216,8.0,1.3142857142857145
A604,201216,9.4,1.4285714285714286
A621,201216,0.2,0.1428571428571428
A606,201216,3.0,0.5428571428571428
A619,201217,0.4,0.1142857142857143
A652,201217,17.8,4.171428571428572
A611,201217,6.0,1.0571428571428572
A610,201217,2.8,0.9714285714285714
A606,201217,1.4,0.2571428571428571
A624,201217,6.2,1.2
A602,201217,6.6,1.6
A618,201217,6.2,1.6285714285714286
A603,201217,5.6,1.2285714285714284
A604,201217,15.4,2.2857142857142856
A601,201217,3.2,0.7142857142857143
A608,201217,6.2,0.9714285714285714
A621,201217,0.2,0.1428571428571428
A607,201217,1.8,0.2571428571428572
A609,201217,4.8,1.0285714285714287
A620,201217,0.6,0.0857142857142857
A610,201218,22.0,5.857142857142857
A604,201218,24.2,4.085714285714286
A621,201218,4.8,0.9714285714285714
A611,201218,7.0,2.314285714285714
A602,201218,8.2,2.685714285714286
A606,201218,5.8,1.7142857142857142
A620,201218,24.6,4.171428571428572
A618,201218,7.2,2.657142857142857
A607,201218,17.2,3.0857142857142854
A624,201218,6.4,2.0571428571428574
A652,201218,4.8,1.1428571428571428
A609,201218,10.8,2.771428571428572
A601,201218,10.6,3.6
A608,201218,4.6,1.7428571428571429
A603,201218,10.4,3.685714285714286
A619,201218,9.0,1.7714285714285711
A620,201219,1.4,0.2571428571428571
A601,201219,0.2,0.0571428571428571
A618,201219,0.4,0.1142857142857143
A610,201219,1.8,0.4857142857142857
A602,201219,3.2,0.4857142857142857
A619,201219,0.0,0.0
A606,201219,0.4,0.0571428571428571
A604,201219,3.2,0.5428571428571429
A611,201219,2.4,0.4857142857142857
A624,201219,1.0,0.2857142857142857
A621,201219,1.6,0.4285714285714285
A603,201219,0.4,0.1428571428571428
A608,201219,2.2,0.4
A652,201219,1.6,0.4285714285714285
A609,201219,0.2,0.0857142857142857
A607,201219,1.8,0.3428571428571428
A603,201220,6.4,2.2857142857142856
A602,201220,8.4,2.685714285714286
A611,201220,5.0,1.1428571428571428
A620,201220,13.4,6.342857142857143
A607,201220,8.0,3.142857142857143
A621,201220,5.2,1.657142857142857
A606,201220,13.4,6.171428571428572
A652,201220,5.2,1.657142857142857
A618,201220,6.6,2.4285714285714284
A608,201220,21.6,5.8
A624,201220,3.8,1.5142857142857142
A619,201220,6.2,2.7142857142857144
A609,201220,4.6,1.6
A610,201220,4.8,1.9428571428571428
A601,201220,3.6,1.742857142857143
A604,201220,5.6,1.0285714285714285
A603,201221,1.2,0.2571428571428572
A611,201221,0.6,0.1142857142857143
A608,201221,2.6,0.4
A601,201221,0.2,0.0285714285714285
A620,201221,0.2,0.0857142857142857
A624,201221,0.8,0.2571428571428572
A618,201221,4.0,0.6571428571428571
A604,201221,0.2,0.0571428571428571
A609,201221,0.6,0.2571428571428572
A606,201221,0.4,0.0571428571428571
A652,201221,0.4,0.1428571428571428
A607,201221,0.2,0.1142857142857143
A621,201221,0.4,0.2
A610,201221,0.6,0.1999999999999999
A602,201221,0.2,0.0285714285714285
A619,201221,0.0,0.0
A619,201222,3.4,1.0571428571428572
A601,201222,6.0,0.9714285714285714
A603,201222,2.6,0.5428571428571429
A652,201222,2.8,0.7428571428571429
A609,201222,9.6,1.5142857142857142
A621,201222,0.2,0.1714285714285714
A624,201222,1.0,0.3714285714285714
A606,201222,3.0,0.6285714285714287
A602,201222,22.6,3.2857142857142856
A618,201222,9.8,1.742857142857143
A604,201222,33.0,5.085714285714286
A620,201222,0.8,0.1428571428571428
A608,201222,24.0,4.685714285714285
A611,201222,0.2,0.1142857142857143
A610,201222,2.8,0.6285714285714287
A607,201222,49.4,8.714285714285714
A602,201223,5.6,1.3714285714285714
A604,201223,2.2,0.4285714285714286
A603,201223,7.8,2.2857142857142856
A619,201223,6.6,1.9714285714285715
A608,201223,26.4,4.485714285714286
A601,201223,1.8,0.8285714285714286
A618,201223,3.6,1.6
A607,201223,5.0,0.9428571428571428
A621,201223,0.2,0.12
A652,201223,1.8,0.4857142857142857
A620,201223,21.0,6.828571428571428
A609,201223,3.4,1.1142857142857143
A610,201223,3.6,1.7142857142857142
A611,201223,4.0,0.8285714285714285
A624,201223,3.0,1.1714285714285717
A606,201223,34.2,6.685714285714286
A602,201224,4.4,0.8285714285714286
A611,201224,5.2,0.8285714285714285
A604,201224,2.0,0.3714285714285714
A619,201224,3.8,0.7714285714285714
A608,201224,16.6,2.4
A624,201224,1.0,0.3999999999999999
A610,201224,10.8,1.6
A607,201224,0.6,0.1999999999999999
A620,201224,0.2,0.0285714285714285
A606,201224,5.6,1.342857142857143
A601,201224,7.0,1.085714285714286
A652,201224,0.4,0.2285714285714286
A609,201224,13.6,2.0285714285714285
A603,201224,8.8,1.3142857142857145
A618,201224,2.4,0.5714285714285714
A602,201225,10.8,1.885714285714286
A620,201225,0.2,0.0285714285714285
A619,201225,4.0,1.3714285714285714
A608,201225,0.2,0.0571428571428571
A603,201225,21.6,3.4285714285714284
A609,201225,12.4,2.2
A606,201225,2.6,0.5714285714285714
A607,201225,0.2,0.0285714285714285
A610,201225,22.4,3.7714285714285714
A604,201225,0.2,0.0857142857142857
A652,201225,0.2,0.2
A611,201225,18.0,2.942857142857143
A618,201225,20.2,3.1142857142857143
A624,201225,7.8,1.457142857142857
A601,201225,13.4,2.171428571428572
A611,201226,0.4,0.0857142857142857
A619,201226,0.2,0.0285714285714285
A602,201226,9.6,1.4857142857142855
A609,201226,0.2,0.0571428571428571
A618,201226,0.4,0.0857142857142857
A601,201226,2.4,0.4285714285714285
A608,201226,0.2,0.0285714285714285
A620,201226,3.0,0.5142857142857143
A610,201226,0.2,0.1714285714285714
A603,201226,0.2,0.0857142857142857
A607,201226,1.6,0.3714285714285714
A604,201226,0.2,0.0571428571428571
A606,201226,0.0,0.0
A624,201226,0.4,0.2
A652,201226,0.2,0.0857142857142857
A652,201227,0.0,0.0
A619,201227,0.0,0.0
A602,201227,0.0,0.0
A604,201227,0.2,0.1142857142857143
A610,201227,0.2,0.1428571428571428
A609,201227,0.2,0.1714285714285714
A606,201227,0.0,0.0
A624,201227,0.2,0.1428571428571428
A611,201227,0.2,0.0571428571428571
