Actual,Predicted
1.0,54.3706755368684
0.0,65.77411118068926
0.0,50.87601100862402
0.0,45.481937912919065
1.0,50.33422919416011
3.0,67.59109053564164
0.0,58.270346888312766
0.0,63.95087708624111
1.0,60.97148841585609
0.0,67.19026628402085
3.0,76.3502767726207
2.0,65.51475422645575
5.0,49.86535518604411
10.0,55.83139719367494
2.0,51.186864946433815
4.0,61.24434447993461
4.0,53.30790824680425
3.0,43.316250597345274
3.0,53.95481297747108
4.0,48.594792595223964
2.0,39.887529926561236
6.0,47.49683282701872
2.0,51.80283988322953
1.0,33.38751350400402
5.0,33.75198397420583
1.0,3.8538908258920923
3.0,4.750525140401831
1.0,0.1969560241051926
2.0,-21.756519904286744
4.0,-13.573997571195255
4.0,-8.042647024612862
0.0,-2.200196249023611
0.0,-5.335524377968873
0.0,-7.0246928769632255
1.0,-3.347545931707039
0.0,-2.84801897400754
0.0,0.4592126410870854
1.0,-16.166494083264723
2.0,-6.359711258676417
1.0,2.543304293344108
1.0,-4.335650673142761
0.0,-7.196905761787733
0.0,3.7863605246674217
0.0,-12.291577832061808
0.0,-13.409422036101304
0.0,-19.594911040927784
0.0,-24.09397215205632
0.0,-16.305090688227086
0.0,-20.277052457797595
2.0,7.904186204505797
0.0,-18.436428738599606
2.0,-13.627191150045855
0.0,56.06926097220773
1.0,52.23565136787349
0.0,34.63919749786123
0.0,37.94593978697823
0.0,53.99239520517677
1.0,53.28497193825408
0.0,47.957674600541324
0.0,40.08464060046099
0.0,32.210760486519746
1.0,47.00415799129763
5.0,61.094629225765196
0.0,42.53387505795789
3.0,58.45589419083754
0.0,65.11718371196115
12.0,48.944284112572554
29.000000000000004,38.091950493736896
41.0,47.82547540468146
49.0,50.389618065749325
78.0,49.30449663236513
59.00000000000001,14.725048691807618
31.0,8.380458867311578
17.0,39.465634338736784
23.0,40.800899871773076
11.0,-2.155966058728998
8.0,6.867648284712374
9.0,4.583601578724411
6.0,-17.03873027929614
4.0,3.630956029908502
7.0,-7.634215184422748
3.0,-10.875131481397437
1.0,0.3223706892518914
4.0,-12.891900278973129
1.0,-15.944425785501823
2.0,-19.671573518304037
1.0,-21.513333350945604
3.0,-32.238858976342335
1.0,-4.274015211758189
1.0,-25.497549981180544
1.0,-6.529013222630972
4.0,-11.259399489663178
3.0,-24.43830431353979
6.0,-16.575834314831557
3.0,-23.46460675513807
3.0,-29.09876652004787
3.0,-31.251693361617264
6.0,-31.64491725677399
2.0,-37.331234509169455
7.0,-21.863261367547917
1.0,-16.984553877974083
0.0,-21.29208500809754
0.0,-5.169217898014131
6.0,2.9328970394584055
0.0,6.575324118486184
0.0,-7.85620307638038
0.0,-16.769850819861723
0.0,-17.915444061127243
0.0,-25.306048408056217
0.0,-6.3241285084306735
0.0,3.555722018560888
0.0,3.054218957033673
1.0,2.5671215020846523
0.0,14.693810725488984
0.0,11.69843775831257
0.0,15.942225403313552
0.0,7.255861241027323
0.0,13.32533987451589
0.0,3.2338617232901603
0.0,5.013387229067344
0.0,4.4699926990899455
0.0,-5.952181919327886
0.0,-23.959714967625512
0.0,-28.439791620035212
0.0,-20.46487640713932
0.0,-30.112843601257136
0.0,-31.44818052095009
0.0,-55.131637192815994
0.0,-65.08015313323907
0.0,-85.69332168964323
0.0,-98.77358891792993
0.0,-103.43571935861289
0.0,-119.10331198424959
0.0,-133.7178575854199
0.0,-145.14764549820586
0.0,-138.72822079858875
0.0,-150.06516827372465
0.0,-151.5574727038386
0.0,-138.33174037545837
0.0,-141.5952598414142
0.0,-134.80093939425421
0.0,-145.55718985503847
0.0,-121.80483599035831
0.0,-113.27676148735787
0.0,-85.23705368937678
0.0,-85.17097647044284
0.0,-77.29076186428189
0.0,-69.93269714762157
0.0,-70.00944476601309
0.0,-69.90711177447311
0.0,-97.50106701987335
0.0,-69.08836342928038
0.0,-62.006944440203334
0.0,-54.627029782919735
0.0,-67.34356632020554
0.0,-58.59343323065399
1.0,-1.9424020840806522
0.0,0.17796231618064837
0.0,-8.220240004032366
0.0,-21.170532496383867
4.0,-14.80127014221152
5.0,0.5601083153039917
5.0,0.800051355537261
3.0,-3.3737918877532596
13.0,-14.105077687392585
17.0,-9.620585697962744
47.0,-9.794324688532713
31.0,-26.41788420390519
32.0,-43.581107313279354
56.0,-20.231671629590494
35.0,-30.698616004528713
32.0,-41.14985359985706
26.0,-32.936361409871616
20.0,-39.609665570618894
16.0,-36.961131181841104
11.0,-68.94700562223083
6.0,-64.69268150992468
6.0,-64.43296146829763
3.0,-85.11990878854027
0.0,-110.36977048893382
0.0,-108.726584514916
1.0,-122.3131265759933
0.0,-141.5344737668993
0.0,-134.4342030320011
0.0,-151.6931168570342
1.0,-161.61296763221705
1.0,-166.2166733498839
3.0,-182.9323216846573
0.0,-187.61234640065092
0.0,-176.02994197799524
0.0,-181.86663709104275
0.0,-194.24900302601017
0.0,-157.05035599974545
0.0,-156.8325668811654
0.0,-145.58566042147302
0.0,-125.69051237558632
1.0,-119.9201940396334
1.0,-117.08572229991267
1.0,-96.91762955486941
0.0,-99.94082142477639
3.0,-91.52122641226661
0.0,-78.84242155430488
0.0,-78.17261116416766
0.0,-56.82829067032307
0.0,-61.58495884303738
0.0,-68.49235863826243
0.0,-45.533531949664095
0.0,-47.708990468511466
0.0,-1.2016335813608494
0.0,-15.459017881418102
1.0,-20.005649491485308
1.0,-21.422207492628704
1.0,-20.51308565846131
2.0,-0.6756912196117567
0.0,0.38114452151553524
0.0,8.358583002055362
1.0,-0.5383345815355038
1.0,4.7486511075065305
0.0,6.370398957921416
1.0,2.8162671052039596
1.0,-9.368477801805911
0.0,-8.256835774531725
0.0,-17.221575659510563
0.0,3.6046405170495857
0.0,-3.6620341501863822
1.0,-2.76455667300343
1.0,-20.62724447755332
0.0,-9.7028842681932
0.0,-7.552377945269346
1.0,-6.341994387078111
0.0,-6.044502847595478
0.0,-35.96725658963494
0.0,-29.171488484251547
1.0,-47.1741011145896
1.0,-46.16491633955393
0.0,-46.73660581530234
0.0,-72.30658016088492
0.0,-72.43180504660123
0.0,-83.36437712531598
0.0,-72.35533188075185
0.0,-76.63819303893386
0.0,-83.41381958120682
0.0,-74.38148180919526
0.0,-73.6013183333215
0.0,-74.4143619416602
0.0,-94.42683602510101
0.0,-77.11953467858525
0.0,-88.4497990764156
0.0,-77.91329253967797
0.0,-87.19676237820151
0.0,-69.82070672177753
0.0,-71.35029485853934
0.0,-90.74198846529458
0.0,-84.05507616507425
0.0,-87.14871723307685
0.0,-78.47746224003264
0.0,-73.5123318871542
0.0,-62.773451344998406
0.0,-76.34695985812694
0.0,-66.41905967817094
1.0,-5.886146091362467
1.0,-2.802498579675954
0.0,-6.070175057735129
0.0,-16.757075200383056
0.0,-9.399028155006002
0.0,-7.75025350927273
0.0,-5.967634279000882
1.0,-10.538719809656202
0.0,-22.88436947578274
0.0,-17.966689377749326
1.0,-15.580285907136508
0.0,-35.020539079568465
1.0,2.851954035249484
0.0,-1.131521084381082
0.0,-17.437978209383076
0.0,-22.17715811668627
1.0,-11.35463854785013
2.0,-17.566310639572517
1.0,-21.707716863655772
6.0,-36.25574879077696
1.0,-37.9882254777493
0.0,-20.779014031393253
0.0,-41.71725919861676
1.0,-65.78941821944501
2.0,-53.331432301687336
0.0,-70.63951941398632
0.0,-78.18743074001871
1.0,-69.30061779045785
0.0,-76.22677688542963
0.0,-96.13498498083233
0.0,-93.89563028729603
0.0,-104.08565451151172
1.0,-115.66620621154686
0.0,-112.67968654485692
1.0,-120.04312687219189
0.0,-135.59181400124749
0.0,-116.66301161907134
1.0,-119.41716802911934
1.0,-109.33192875070633
0.0,-114.01346189585752
0.0,-103.89447300736128
0.0,-110.1153952336969
0.0,-99.787172624984
0.0,-113.07371363866625
0.0,-98.09176682408113
0.0,-95.93057752597028
0.0,-96.03295454123541
1.0,-77.16854297823612
0.0,-80.84375657340988
0.0,-88.511163305375
0.0,-83.29490767642223
1.0,-71.64428620936889
0.0,16.233150811197962
0.0,22.66831546867553
0.0,1.6585035961818313
0.0,-2.2755052438628294
0.0,-3.170823803186881
0.0,9.905650720906866
1.0,13.710056365733154
0.0,24.430439961296102
0.0,12.897765632823194
0.0,21.823587229861257
0.0,20.298942752936465
0.0,12.945364581921416
0.0,-6.886811131185712
0.0,-4.306127978282673
0.0,-13.994571577691444
0.0,-6.575304732663849
0.0,-13.331970862911708
0.0,-17.440302201810596
0.0,-34.67735065320127
0.0,-30.951919874037024
0.0,-43.537393195908095
0.0,-38.310092943413316
0.0,-43.52761987438589
0.0,-61.5005010565839
0.0,-69.33967390032902
0.0,-92.68519559193655
0.0,-96.95388783059211
0.0,-99.86541783160446
0.0,-127.42517329568865
0.0,-139.38092729833718
0.0,-144.16258935638916
0.0,-132.1706803098348
0.0,-145.1963273368266
0.0,-149.60917592654368
0.0,-130.82148056479622
0.0,-128.02143068313
0.0,-126.36041780368846
0.0,-140.11749820736665
0.0,-120.77855826926097
0.0,-116.16131031973605
0.0,-101.97284476700345
0.0,-96.07323717545832
0.0,-75.2023566746486
0.0,-69.63594806194953
0.0,-79.03193298775969
0.0,-84.85285899106182
0.0,-77.57263044409156
0.0,-69.44112833077516
0.0,-65.2115155919346
0.0,-45.22454762860031
0.0,-67.55468564630335
0.0,-51.86578285731018
0.0,3.639224534675235
0.0,5.363290075761009
0.0,3.33533562381689
0.0,-9.670378830050817
0.0,0.06900070338487986
0.0,1.5780804589114779
0.0,6.286824798388603
0.0,0.4866242167891535
0.0,-11.871365157374031
0.0,-7.1577446728105665
0.0,4.133425951367807
0.0,-19.393573814744716
0.0,-11.531372877160143
0.0,2.347972545339515
0.0,-7.496543141199125
0.0,-18.634707872404494
0.0,-14.797429366502064
0.0,-22.81957433583604
0.0,-23.625426506181945
0.0,-52.30805990982004
0.0,-60.87024200718492
0.0,-40.00003311640606
0.0,-52.57086787122445
1.0,-82.83765231418549
0.0,-73.82339449814452
0.0,-92.75023515008144
0.0,-120.62030504600511
0.0,-109.97723859564178
0.0,-109.23929040889895
0.0,-131.71535601834157
0.0,-119.30016145053868
0.0,-144.7257729030328
0.0,-151.91260596175928
0.0,-152.78721454619202
0.0,-160.25366075381743
0.0,-168.8780111106744
0.0,-142.0989766344382
0.0,-156.0695693439176
0.0,-132.08437312899778
0.0,-127.48175592089959
0.0,-119.73146279435463
0.0,-121.64136713875067
0.0,-107.96127754505824
0.0,-112.59174045729237
0.0,-106.33603597661948
0.0,-99.24399627871904
0.0,-94.32783622785482
0.0,-75.16854778735744
0.0,-77.56190252336097
0.0,-87.82481199706835
0.0,-61.3899423153831
0.0,-64.56145837916849
0.0,-25.79207101663316
0.0,-47.341307068225476
0.0,-50.260331679171486
1.0,-52.27330007399557
0.0,-45.18903611599177
0.0,-21.38677305175168
0.0,-23.274417170061245
1.0,-8.956852332203042
0.0,-20.139287455359817
1.0,-1.058273669155752
3.0,-15.112242997014052
0.0,-13.525151224338652
6.0,-32.93549912366601
6.0,-27.322628154461405
6.0,-34.87932849071397
3.0,-31.284990101696454
2.0,-28.70829348241024
2.0,-27.538324091161538
5.0,-38.926198463178615
8.0,-41.41316070060745
0.0,-36.18231041149109
1.0,-36.13679989605554
2.0,-27.006732752847334
1.0,-54.668623622287434
3.0,-63.884456844765474
0.0,-74.57616510749776
2.0,-79.9462314052864
2.0,-73.48075264805658
1.0,-91.23787284142638
2.0,-109.09030307675562
1.0,-110.04156866873416
1.0,-89.38557735224643
0.0,-105.91850083463784
0.0,-110.93163655818745
0.0,-91.75471856375965
1.0,-94.47520783920662
0.0,-98.0978862034196
0.0,-114.43825905773646
2.0,-96.16116941180938
1.0,-97.98918183620779
1.0,-83.18184207789866
2.0,-84.24174996968675
0.0,-79.64802246996679
0.0,-72.31024852504912
0.0,-86.89425556007176
0.0,-94.18774915156582
0.0,-97.89782499967721
0.0,-89.2332600351048
1.0,-90.60817075127
0.0,-85.55350140707246
0.0,-98.1731990773859
1.0,-93.98081774004822
0.0,-34.970284196170056
1.0,-27.382416394209255
0.0,-36.116642582788714
0.0,-56.57665594566828
0.0,-38.33081765407491
0.0,-31.802770377779616
0.0,-32.34186042118798
0.0,-37.98814904639004
0.0,-51.570650347232245
1.0,-44.81999323398545
1.0,-37.19734627444817
3.0,-54.01039451021593
1.0,-27.79376531930529
4.0,-24.381829145404968
2.0,-40.47311386026265
2.0,-57.07924421937989
2.0,-42.59370552991663
2.0,-49.05439785486647
6.0,-47.478202047946915
0.0,-74.8032165622375
0.0,-70.48028060839042
0.0,-61.79333795207207
1.0,-66.42243315243054
0.0,-104.85498516689943
2.0,-79.66776814134899
1.0,-109.22879417169261
0.0,-125.9231818277316
0.0,-112.48802267939774
0.0,-112.0603060575898
0.0,-134.2026014763957
0.0,-117.8297128342812
0.0,-151.20204001334372
0.0,-159.2548768740188
0.0,-145.11169881482365
0.0,-151.00577128879513
0.0,-173.3500162180029
0.0,-137.6856172592398
0.0,-151.30913721256735
0.0,-134.67437281810362
0.0,-128.51659954866966
0.0,-128.7872553632193
0.0,-134.82500527309074
0.0,-115.44194065256089
0.0,-127.1693278296802
0.0,-113.53476278422494
0.0,-113.23473694709583
0.0,-107.66875484687687
0.0,-87.74698835189491
0.0,-93.12879218438908
0.0,-101.6835620997253
0.0,-79.96411551602986
0.0,-77.59209692342014
0.0,-34.21052912672781
0.0,-48.649142991192754
0.0,-50.735774573692346
2.0,-52.07556956250408
0.0,-51.44370379250657
0.0,-33.97478259495518
0.0,-35.715995296246895
0.0,-29.220415422766767
0.0,-40.0335283480892
0.0,-34.97733245173186
0.0,-32.40578184447541
0.0,-34.21695487639017
0.0,-44.34183656907037
0.0,-40.44966628719776
0.0,-47.47261001198137
0.0,-24.295039799283614
0.0,-29.401385944280047
0.0,-26.538548569698577
0.0,-42.822330918638286
0.0,-30.02650205316451
0.0,-25.964522259176565
0.0,-23.096408317384306
1.0,-21.406269285376865
1.0,-49.598155182785476
2.0,-41.19577564695857
1.0,-57.52023529942223
1.0,-54.70151932318408
0.0,-53.2389878646799
1.0,-76.46830509791126
0.0,-74.16878427904963
0.0,-83.45524805005145
0.0,-70.95921878642338
0.0,-75.48495898460577
0.0,-81.24559026998897
0.0,-73.00098548595719
0.0,-73.66165924612395
0.0,-76.3803278898313
0.0,-98.50712001106378
0.0,-83.33846082725239
0.0,-97.1773583598285
0.0,-89.11311086297745
0.0,-101.2998372319078
0.0,-86.47820151544225
0.0,-90.34662523360292
0.0,-112.45764414395397
0.0,-108.1554542192511
0.0,-110.22991043079783
1.0,-106.24583747003781
0.0,-105.96660776070468
0.0,-94.99515101865688
0.0,-106.50612523767234
0.0,-97.51035820786048
0.0,-37.12983948516699
0.0,-34.001787275127825
2.0,-36.33773173144784
1.0,-47.52641423641139
0.0,-36.386101293131475
1.0,-33.29300917529677
0.0,-28.920170512913685
3.0,-31.25640809396922
1.0,-40.65535808591454
1.0,-33.22448229010256
1.0,-29.012046477489655
0.0,-47.72608570348281
2.0,-10.026647691091354
2.0,-13.23463198776367
2.0,-30.479437308296955
