date,week,cases,population,tempe_min,humidity_max,humidity_avg,humidity_min,temp_avg,temp_max,geocode,vim,vim_monthly,precipitation_avg_ordinary_krigging,precipitation_max_ordinary_krigging,precipitation_avg_regression_krigging,precipitation_max_regression_krigging,case_increase,is_outbreak,outbreak_label
2012-01-01,201201,32,207044.0,19.0,79.4285714285714,55.514486,35.0,25.0489507142857,29.5714285714286,3300100,0.8505,0.8526333333333334,5.6804,18.3375,5.2038,18.7979,,0,1
2012-01-08,201202,40,207044.0,19.7142857142857,82.2857142857143,62.357393,47.4285714285714,23.7375125714286,26.5714285714286,3300100,0.852049801341847,0.8526333333333334,4.0716,16.5375,3.9114,16.8583,8.0,0,1
2012-01-15,201203,19,207044.0,20.0,83.0,65.2362638571429,45.5714285714286,24.4131868571429,28.7142857142857,3300100,0.8535408434504953,0.8526333333333334,2.0555,5.05,1.7556,3.1368,-21.0,0,0
2012-01-22,201204,33,207044.0,19.2857142857143,83.0,60.3626371428571,43.4285714285714,24.8791212857143,28.8571428571429,3300100,0.8548766300578595,0.8526333333333334,1.5416,5.7059,1.4138,5.2767,14.0,0,1
2012-01-29,201205,36,207044.0,18.8571428571429,80.8571428571429,50.8859235714286,33.1428571428571,25.9899922857143,30.4285714285714,3300100,0.856020590908772,0.8526333333333334,2.8204,9.3826,2.0057,7.8749,3.0,0,1
2012-02-05,201206,39,207044.0,19.5714285714286,81.5714285714286,43.4940475714286,22.1428571428571,28.614927,33.5714285714286,3300100,0.8571586480874601,0.858,3.817,25.983,3.8228,26.0478,3.0,0,1
2012-02-12,201207,37,207044.0,20.1428571428571,80.1428571428571,56.778911,40.5714285714286,25.791314,29.5714285714286,3300100,0.858241091053599,0.858,4.0861,29.4086,4.092,29.011,-2.0,0,1
2012-02-19,201208,33,207044.0,21.8571428571429,74.0,51.4584248571429,34.4285714285714,27.2532964285714,31.2857142857143,3300100,0.8591417994784867,0.858,0.5962,4.0133,0.4783,3.2643,-4.0,0,1
2012-02-26,201209,46,207044.0,20.7142857142857,80.1428571428571,43.7609891428571,21.2857142857143,28.9029304285714,34.0,3300100,0.8600823979889836,0.858,0.8143,3.8456,0.8171,3.8703,13.0,0,1
2012-03-04,201210,42,207044.0,20.4285714285714,71.7142857142857,48.3336385714286,28.4285714285714,26.4674908571429,30.8571428571429,3300100,0.8609333354802199,0.8615666666666667,1.1867,5.3867,0.6647,3.8741,-4.0,0,1
2012-03-11,201211,38,207044.0,18.4285714285714,85.1428571428571,63.5940754285714,40.4285714285714,23.9608255714286,29.4285714285714,3300100,0.8616,0.8615666666666667,4.1758,15.3196,2.7773,11.9097,-4.0,0,1
2012-03-18,201212,52,207044.0,18.8571428571429,82.1428571428571,57.0805325714286,37.4285714285714,24.8545571428571,29.1428571428571,3300100,0.8622475072011162,0.8615666666666667,3.8097,15.0827,2.8026,12.699,14.0,0,1
2012-03-25,201213,55,207044.0,20.1428571428571,83.0,61.9585651428571,45.7142857142857,24.6816632857143,28.2857142857143,3300100,0.8627898668005385,0.8615666666666667,2.5173,12.4989,2.5215,12.4287,3.0,0,1
2012-04-01,201214,47,207044.0,19.2857142857143,82.1428571428571,54.31019,38.1428571428571,26.2248584285714,30.1428571428571,3300100,0.8632,0.8636666666666667,2.7552,14.1,1.2065,6.5275,-8.0,0,1
2012-04-08,201215,47,207044.0,20.1428571428571,81.5714285714286,53.5516234285714,37.7142857142857,26.4116882857143,30.1428571428571,3300100,0.8635523084255694,0.8636666666666667,0.8143,4.0625,0.5772,3.0044,0.0,0,1
2012-04-15,201216,66,207044.0,19.1428571428571,80.5714285714286,60.047836,45.0,23.8251082857143,26.8571428571429,3300100,0.8638945211086316,0.8636666666666667,2.0607,9.6125,1.7162,8.8836,19.0,0,1
2012-04-22,201217,69,207044.0,18.8571428571429,82.2857142857143,60.8858997142857,46.0,23.6296845714286,27.0,3300100,0.864115340360534,0.8636666666666667,1.1071,5.325,1.0783,5.489,3.0,0,1
2012-04-29,201218,71,207044.0,15.7142857142857,81.5714285714286,63.076624,50.1428571428571,20.2415585714286,23.0,3300100,0.8641107209579968,0.8636666666666667,2.7696,9.0424,2.3692,8.7449,2.0,0,1
2012-05-06,201219,111,207044.0,15.4285714285714,82.2857142857143,55.7313851428571,40.1428571428571,21.9800867142857,25.4285714285714,3300100,0.8640872463693341,0.8638333333333333,0.2552,1.1306,0.2357,1.1859,40.0,1,1
2012-05-13,201220,69,207044.0,15.1428571428571,84.0,63.0887451428571,51.2857142857143,19.4010822857143,21.8571428571429,3300100,0.8639177335481564,0.8638333333333333,2.2056,7.6125,2.314,8.3648,-42.0,0,1
2012-05-20,201221,46,207044.0,14.8571428571429,83.0,60.4645531428571,43.4285714285714,20.5649144285714,24.0,3300100,0.8634721709588884,0.8638333333333333,0.1786,0.7875,0.135,0.5938,-23.0,0,1
2012-05-27,201222,49,207044.0,15.0,90.7142857142857,60.3000292857143,36.7142857142857,22.4554732857143,27.4285714285714,3300100,0.8629538503650157,0.8638333333333333,1.3058,7.13,1.43,7.8864,3.0,0,1
2012-06-03,201223,45,207044.0,16.2857142857143,84.0,65.9643691428572,51.1428571428571,21.0257244285714,24.1428571428571,3300100,0.8622803546543427,0.8610666666666668,1.4525,8.1375,1.5076,9.7388,-4.0,0,1
2012-06-10,201224,62,207044.0,15.7142857142857,84.0,63.9735817142857,45.0,20.6960815714286,24.7142857142857,3300100,0.8613496064747924,0.8610666666666668,1.1097,6.5838,1.0658,6.1929,17.0,0,1
2012-06-17,201225,63,207044.0,16.5714285714286,78.4285714285714,62.524676,49.2857142857143,20.7557444285714,23.7142857142857,3300100,0.8602282373478298,0.8610666666666668,1.9078,9.5582,1.4125,5.9575,1.0,0,1
2012-06-24,201226,36,207044.0,13.2857142857143,83.0,59.6184307142857,40.5714285714286,20.1488678571429,24.2857142857143,3300100,0.8589070850337461,0.8610666666666668,0.2457,1.28,0.2838,1.6372,-27.0,0,1
2012-07-01,201227,42,207044.0,10.6666666666667,84.8333333333333,52.2946968333333,31.0,21.2140785,26.5,3300100,0.8574,0.8549000000000001,0.0597,0.093,0.0388,0.0579,6.0,0,1
2012-07-08,201228,15,207044.0,11.8571428571429,84.7142857142857,58.3320344285714,39.0,18.4147187142857,22.8571428571429,3300100,0.8557599697898356,0.8549000000000001,1.4321,6.35,1.0306,5.482,-27.0,0,0
2012-07-15,201229,12,207044.0,11.7142857142857,84.2857142857143,60.3885288571429,42.8571428571429,17.5725112857143,21.4285714285714,3300100,0.85392688002053,0.8549000000000001,0.8411,3.575,0.8604,3.4617,-3.0,0,0
2022-04-10,202215,12,207044.0,18.5714285714286,95.7019085714286,74.3891564285714,55.0472377142857,23.5374148571429,28.2857142857143,3300100,0.8716451991630398,0.8713000000000001,3.9356,16.3403,3.6451,15.569,12.0,0,0
2022-04-17,202216,29,207044.0,15.7142857142857,100.0,69.348836,48.5658868571429,22.9081632857143,28.0,3300100,0.8710309528104595,0.8713000000000001,0.0949,0.552,0.1049,0.7031,17.0,0,0
2022-04-24,202217,41,207044.0,17.0,99.1328242857143,76.9909765714286,58.6873224285714,23.2304125714286,27.4285714285714,3300100,0.8701001334006168,0.8713000000000001,2.5577,11.088,2.6712,12.1423,12.0,0,1
2022-05-01,202218,49,207044.0,16.7142857142857,100.0,79.5717098571429,61.4554604285714,21.7244898571429,25.5714285714286,3300100,0.8688873585503155,0.8664000000000001,1.2434,3.7472,1.0977,3.9907,8.0,0,1
2022-05-08,202219,78,207044.0,17.2857142857143,96.4857085714286,76.890038,61.2445482857143,21.2857142857143,25.0,3300100,0.8675080584849149,0.8664000000000001,0.6046,1.6794,0.7609,2.1745,29.0,0,1
2022-05-15,202220,59,207044.0,11.2857142857143,98.1976057142857,71.793682,52.0900794285714,17.5,22.1428571428571,3300100,0.8658360903020508,0.8664000000000001,0.8146,4.248,0.8146,4.377,-19.0,0,1
2022-05-22,202221,31,207044.0,10.2857142857143,100.0,68.7705857142857,42.9345005714286,19.5863422857143,25.4285714285714,3300100,0.8639,0.8664000000000001,0.0262,0.1874,0.0253,0.1815,-28.0,0,1
2022-05-29,202222,17,207044.0,14.2857142857143,100.0,79.6184012857143,60.9745414285714,20.3040815714286,25.4285714285714,3300100,0.8619480232933835,0.8664000000000001,0.9397,2.92,0.9697,3.0382,-14.0,0,0
2022-06-05,202223,23,207044.0,14.5714285714286,98.21977,86.0545387142857,73.1827712857143,17.9267572857143,21.1428571428571,3300100,0.8599025497467937,0.8576333333333334,1.0358,2.9202,1.0333,2.9109,6.0,0,0
